,D^*,T^*,eta^*,eta^* (1st maximum),eta^* (double exp),rho^*
4,5.069065744994313,0.900000028363037,0.10304101047825227,0.10200494116118018,0.10329387027229463,0.025
3,18.708481397400558,4.000000766287666,0.38253777735006966,0.3965330190239349,0.4564165916074731,0.025
1,0.6734586185644972,1.4999999504830495,0.3132531702409986,0.31074723549199956,0.3100277891114244,0.30000021865905174
0,1.7554096478885386,5.999997846679688,0.6321177298061414,0.631797807903089,0.6282826424803735,0.30000021865905174
2,0.03248638575190382,0.7220000061706545,3.247829735680562,3.241724305543759,3.3169311222942106,0.844198595873765
