,D^*,T^*,eta^*,eta^* (1st maximum),eta^* (double exp),rho^*
4,5.057555813341402,0.9000000131495884,0.10327046343568512,0.10214922185623823,0.10295098511170261,0.025
3,18.71918125313386,4.000000168840679,0.3587349245428414,0.35583437001993845,0.359534846273159,0.025
1,0.6751728236723653,1.5000001101248608,0.3224018705783164,0.3225902282360506,0.31903678613496006,0.30000021865905174
0,1.7606469341519493,6.000001645952499,0.6377337500110745,0.6451282011097178,0.63635388622662,0.30000021865905174
2,0.03246046647891262,0.7219999596967422,3.2517480902276445,3.2435056121113575,3.2880678023197776,0.844198595873765
