,D^*,T^*,eta^*,eta^* (1st maximum),eta^* (double exp),rho^*
4,5.138291448966945,0.8999999880920407,0.09880720983165822,0.09777842921929304,0.09866476330864166,0.025
3,18.702022680496327,3.999999809892926,0.37904462336041794,0.3890584771788269,0.4323263542038757,0.025
1,0.6696541907689656,1.5000000384870265,0.32193213526469405,0.3207005468925179,0.3188674985434883,0.30000021865905174
0,1.7790593581034566,6.0000032264491505,0.6324694049649688,0.6312685850483887,0.6300194357490998,0.30000021865905174
2,0.03248638575190382,0.7220000061706545,3.2488638254160485,3.241724305543759,3.274474505714738,0.844198595873765
