,D^*,T^*,eta^*,eta^* (1st maximum),eta^* (double exp),rho^*
4,5.081550746748991,0.8999999938258583,0.10625939830093724,0.10753354738165381,0.11318617138799275,0.025
3,18.518401875514655,4.000000004281179,0.376115854522205,0.3824867660256461,0.41910708689590137,0.025
1,0.6798124249615506,1.5000000251028887,0.31406589057470313,0.308773770501619,0.3086983286883592,0.30000021865905174
0,1.7653152716605127,5.9999998834751676,0.6302866820263753,0.6359277959044245,0.8017291777652689,0.30000021865905174
2,0.03246046647891262,0.7219999596967422,3.2517805841912595,3.2435056121113575,3.441597317099627,0.844198595873765
