,D^*,T^*,eta^*,eta^* (1st maximum),eta^* (double exp),rho^*
4,5.170016326326507,0.8999999762878416,0.09716100792557608,0.09584807604536813,0.0970242673888705,0.025
3,19.526414950435598,4.000000372689381,0.3724903513469833,0.37125242214030274,0.37679868795038396,0.025
1,0.6635247957827674,1.4999999266793398,0.31648770597834147,0.31260648470797614,0.3119456023687853,0.30000021865905174
0,1.8216918572850134,5.999997744567871,0.6261773095337146,0.6256848453786732,0.6234216870231047,0.30000021865905174
2,0.03248638575190382,0.7220000061706545,3.2478295805290096,3.241724305543759,3.32096700728385,0.844198595873765
