,D^*,T^*,eta^*,eta^* (1st maximum),eta^* (double exp),rho^*
4,5.025584980517907,0.8999999879106798,0.11000346711873432,0.11280329009699808,0.12720472053942541,0.025
3,18.6271191478551,4.000000126569475,0.38220125447500936,0.3971706405764763,0.46516962089392466,0.025
1,0.674062262783835,1.4999999280831477,0.3217222585140873,0.31901882991957625,0.317852954456344,0.30000021865905174
0,1.7868455374275607,5.999997396266394,0.6365182062066637,0.6331447714494992,3.1103798371597735,0.30000021865905174
2,0.032359706502280726,0.7219999921264648,3.2218699912851676,3.2181405884863534,3.2679313060616906,0.844198595873765
