,D^*,T^*,eta^*,eta^* (1st maximum),eta^* (double exp),rho^*
4,5.093836991520887,0.899999955520194,0.11599073023422073,0.11792838399397464,0.12611221137407405,0.025
3,19.218014772287336,4.000000399169924,0.3654589508779294,0.36482986566485737,0.3654403221082725,0.025
1,0.6798914140584523,1.4999998726370671,0.3169584038983294,0.3167495286124303,0.3140915806793718,0.30000021865905174
0,1.8092945463230212,6.000001919651577,0.6288872508138915,0.627318468771245,0.62492884207601,0.30000021865905174
2,0.03246046647891262,0.7219999596967422,3.2517805864285947,3.2435056121113575,3.288067798691363,0.844198595873765
